Code,Description
R2-1,"SPEED LIMIT (ENGLISH), SPEED LIMIT (METRIC)"
R2-2,"TRUCK SPEED LIMIT (ENGLISH), TRUCK SPEED LIMIT (METRIC)"
R2-3,"NIGHT SPEED LIMIT (ENGLISH), NIGHT SPEED LIMIT (METRIC)"
R2-4,"MINIMUM SPEED LIMIT (ENGLISH), MINIMUM SPEED LIMIT (METRIC)"
R2-4A,"COMBINED SPEED LIMIT (ENGLISH), COMBINED SPEED LIMIT (METRIC)"
R2-6,FINES HIGHER
R3-1,RIGHT TURN PROHIBITION
R3-1A,ACTIVATED BLANK-OUT
R3-2,LEFT TURN PROHIBITION
R3-2A,ACTIVATED BLANK-OUT
R3-3,NO TURNS
R3-4,U-TURN PROHIBITED
"R3-5L, R3-5R",MANDATORY MOVEMENT LANE CONTROL
"R3-6L, R3-6R",OPTIMAL MOVEMENT LANE CONTROL
R3-5A,MANDATORY MOVEMENT LANE CONTROL
"R3-5B, R3-5C, R3-5D, R3-5E, R3-5F, R3-5G",LANE CONTROL PLAQUES
R3-7L,MANDATORY MOVEMENT LANE CONTROL
R3-7R,MANDATORY MOVEMENT LANE CONTROL
R3-8,ADVANCE INTERSECTION LANE CONTROL
R3-8A,ADVANCE INTERSECTION LANE CONTROL
R3-8B,ADVANCE INTERSECTION LANE CONTROL
R3-9A,TWO-WAY LEFT TURN (OVERHEAD MOUNTED)
R3-9B,TWO-WAY LEFT TURN (GROUND MOUNTED)
R3-9D,REVESIBLE LANE CONTROL
R3-9F,REVESIBLE LANE CONTROL
R3-9G,ADVANCE REVERSIBLE LANE CONTROL TRANSITION
R3-9H,ADVANCE REVERSIBLE LANE CONTROL TRANSITION
R3-9I,END REVERSE LANE
R3-10,PREFERENTIAL ONLY LANE AHEAD (GROUND MOUNTED)
R3-10A,PREFERENTIAL ONLY LANE AHEAD (GROUND MOUNTED)
R3-10B,PREFERENTIAL ONLY LANE AHEAD (GROUND MOUNTED)
R3-11,PREFERENTIAL ONLY LANE OPERATION
R3-11A,PREFERENTIAL ONLY LANE OPERATION (GROUND MOUNTED)
R3-11B,PREFERENTIAL ONLY LANE OPERATION (GROUND MOUNTED)
R3-11C,PREFERENTIAL ONLY LANE OPERATION (GROUND MOUNTED)
R3-12,PREFERENTIAL ONLY LANE ENDS (GROUND MOUNTED)
R3-12A,PREFERENTIAL ONLY LANE ENDS (GROUND MOUNTED)
R3-12B,PREFERENTIAL ONLY LANE ENDS (GROUND MOUNTED)
R3-13,PREFERENTIAL ONLY LANE AHEAD
R3-13A,PREFERENTIAL ONLY LANE AHEAD (OVERHEAD)
R3-14,PREFERENTIAL ONLY LANE OPERATION (OVERHEAD)
R3-14A,PREFERENTIAL ONLY LANE OPERATION (OVERHEAD)
R3-14B,PREFERENTIAL ONLY LANE OPERATION (OVERHEAD)
R3-15,HOV LANE AHEAD (OVEREHAD)
R3-15A,HOV LANE AHEAD (OVEREHAD)
"R3-17, R3-17A, R3-17B","BIKE LANE, BIKE LANE AHEAD, BIKE LANE ENDS"
R3-18,COMBINATION U0TURN & LEFT TURN PROHIBITION
R4-1,DO NOT PASS
R4-2,PASS WITH CARE
R4-3,SLOWER TRAFFIC KEEP RIGHT
R4-4,BEGIN RIGHT TURN LANE - YIELD TO BIKES
R4-5,TRUCKS USE RIGHT LANE
R4-6,TRUCK LANE 500 FEET
R4-7,KEEP RIGHT
R4-7a,KEEP RIGHT
R4-7b,KEEP RIGHT
R4-8,KEEP LEFT
R4-9,STAY IN LANE
R4-10,RUNAWAY VEHICLES ONLY
R5-1,DO NOT ENTER
R5-1A,WRONG WAY
R5-1B,BICYCLE WRONG WAY
R5-2,NO TRUCKS
R5-2A,NO TRUCKS
R5-3,NO MOTOR VEHICLES
R5-4,COMMERCIAL VEHICLES EXCLUDED
R5-5,VEHICLES WITH LUGS PROHIBITED
R5-6,NO BICYCLES
R5-7,NON-MOTORIZED TRAFFIC PROHIBITED
R5-8,MOTOR-DRIVEN CYCLES PROHIBITED
R5-10A,PEDESTRIAN BICYCLES MOTOR-DRIVEN CYCLES PROHIBITED
R5-10B,PEDESTRIAN AND BICYCLE PROHIBITED
R5-10C,PEDESTRIAN PROHIBITED
R6-1R,ONE WAY
R6-1L,ONE WAY
R6-2R,ONE WAY
R6-3,DIVIDED HIGHWAY CROSSING
R6-3A,DIVIDED HIGHWAY CROSSING
R7-1,NO PARKING
R7-2,NO PARKING
R7-2A,NO PARKING
R7-3,NO PARKING
R7-4,NO PARKING
R7-5,NO PARKING
R7-6,NO PARKING
R7-7,NO PARKING
R7-8,NO PARKING
R7-8A,VAN ACCESABLE
R7-8B,VAN ACCESABLE
R7-9,"NO PARKING, BIKE LANE"
R7-9A,"NO PARKING, BIKE LANE"
R7-107,NO PARKING
R7-107A,NO PARKING (WIYH TRANSIT LOGO)
R7-108,NO PARKING TIME
R7-200,NO PARKING/RESTRICTED PARKING (COMBINED SIGN)
R7-201,TOW AWAY ZONE
R7-201A,TOW AWAY ZONE
R7-202,THIS SIDE OF SIGN
R7-203,EMERGENCY SNOW ROUTE
R8-1,NO PARKING ON PAVEMENT
R8-2,NO PARKING EXCEPT ON SHOULDER
R8-3,NO PARKING
R8-3A,NO PARKING SYMBOL
R8-3B,PARKING PLAQUE
R8-3C,NO PARKING PLAQUE
R8-3D,NO PARKING PLAQUE
R8-4,EMERGENCY PARKING ONLY
R8-5,NO STOPPING ON PAVEMENT
R8-6,NO STOPPING ON EXCEPT ON SHOULDER
R8-7,EMERGENCY STOPPING ONLY
R8-8,DO NOT STOP ON TRACKS
R8-9,TRACKS OUT OF SERVICE
R8-10,STOP HERE WHEN FLASHING
R9-1,WALK IN LEFT FACING TRAFFIC
R9-2,CROSS ONLY AT CROSS WALKS
R9-3,NO PEDESTRIAN CROSSING
R9-3A,NO PEDESTRIAN CROSSING
R9-3B,USE CROSSWALK
R9-3C,RIDE WITH TRAFFIC
R9-4,NO HITCH HIKING
R9-4A,HITCH HIKING PROHIBITED
R9-5,BICYCLISTS USE PEDESTRIAN SIGNAL
R9-6,BICYCLISTS YIELD TO PEDESTRIANS
R9-7,KEEP LEFT/RIGHT TO PEDESTRIANS AND BICYCLISTS
R9-8,PEDESTRIAN CROSSWALK
R9-9,SIDEWALK CLOSED
R9-10,SIDEWALK CLOSED USE OTHER SIDE
R9-11,SIDEWALK CLOSED AHEAD CROSS HERE
R9-11A,SIDEWALK CLOSED CROSS HERE
R10-1,CROSS ON GREEN LIGHT ONLY
R10-2A,CROSS ONLY ON WALK SIGNAL
R10-3,PEDESTRIAN TRAFFIC SIGNAL
R10-3A,PEDESTRIAN TRAFFIC SIGNAL
R10-4,PEDESTRIAN TRAFFIC SIGNAL
R10-4A,PEDESTRIAN TRAFFIC SIGNAL
R10-3B,PEDESTRIAN TRAFFIC SIGNAL
R10-3C,PEDESTRIAN TRAFFIC SIGNAL
R10-3D,PEDESTRIAN TRAFFIC SIGNAL
R10-3E,COUNT-DOWN PEDESTRIAN
R10-4B,PEDESTRIAN TRAFFIC SIGNAL
R10-5,LEFT ON GREEN ARROW ONLY
R10-6A,STOP HERE ON RED
R10-7,DO NOT BLOCK INTERSECTION
R10-8,USE LANE WITH ARROW
R10-10L,LEFT (RIGHT) TURN SIGNAL
R10-11,NO TURN RED
R10-11A,NO TURN RED
R10-11B,NO TURN RED
R10-12,LEFT TURN YIELD ON GREEN
R10-13,EMERGENCY SIGNAL
R10-15,TURNING TRAFFIC MUST YIELD TO PEDESTRIANS
R10-16,U-TURN YIELD TO RIGHT TURN
R10-17A,RIGHT ON RED ARROW AFTER STOP
R10-18,TRAFFIC LAWS PHOTO ENFORCED
R10-19,PHOTO ENFORCED
R10-20A,"MON-FRI, SUNDAY"
R10-21,LEFT TURN SIGNAL YIELD ON GREEN
R10-22,BIKE ACTUATION
R11-1,KEEP OFF MEDIAN
R11-2,ROAD CLOSED
R11-3A,ROAD CLOSED - LOCAL TRAFFIC ONLY
R11-3B,ROAD CLOSED - LOCAL TRAFFIC ONLY
R11-4,ROAD CLOSED TO THRU TRAFFIC
R12-1,"WEIGHT LIMIT, WEIGHT LIMIT (METRIC)"
R12-2,"AXLE WEIGHT LIMIT, AXLE WEIGHT LIMIT (METRIC)"
R12-3,"WEIGHT LIMIT, WEIGHT LIMIT (METRIC)"
R12-4,"WEIGHT LIMIT, WEIGHT LIMIT (METRIC)"
R12-5,"WEIGHT LIMIT, WEIGHT LIMIT (METRIC)"
R12-6,METRIC
R13-1,WEIGH STATION
R14-1,TRUCK ROUTE
R14-2,HAZARDOUS MATERIAL
R14-3,HAZARDOUS MATERIAL
R14-4,NATIONAL NETWORK
R14-5,NATIONAL NETWORK PROHIBITED
"R15-1, R15-2, R15-3/W10-1A","HIGHWAY RAIL GRADE CROSSING (CROSS BUCK), NUMBER OF TRACKS, EXEMPT"
"R15-1, R15-2, R15-3/W10-1A","GRADE CROSSING BIKE PATH (CROSS BUCK) FOR SHARED USE, NUMBER OF TRACKS, EXEMPT"
"R15-4A, R15-4B, R15-4C","LIGHT RAIL ONLY RIGHT LANE, LIGHT RAIL ONLY LEFT LANE, LIGHT RAIL ONLY CENTER LANE"
R15-5,LIGHT RAIL DO NOT PASS
R15-5A,DO NOT PASS STOPPED TRAIN
R15-6A,DO NOT DRIVE ON TRACKS
R15-6,DO NOT DRIVE ON TRACKS LIGHT RAIL SYMBOL
R15-7,LIGHT RAIL DIVIDED HIGHWAY SYMBOL
R15-7A,LIGHT RAIL DIVIDED HIGHWAY SYMBOL
R15-8,LOOK
R16-1,SEATBELT
